Tangra v3.6.0.17
Measurments of 1 objects
C:\Users\joelhcch\Documents\2022A\Clases\LAB_Avanzado_UABC\ReducirDatos\Fotos 2019-06-19 Pruebas Finales\Prueba1 1.6mm2.18m
Asteroidal Video (FITS.16::SEQ), Time: Timestamp Saving During Recording


Reversed Gamma, Colour, Measured Band, Integration, Digital Filter, Signal Method, Background Method, Instrumental Delay Corrections, Camera, AAV Integration, First Frame, Last Frame, Reversed Camera Response, Video File Format
1.00,no,Red,no,NoFilter,AperturePhotometry,AverageBackground,Not Required,,,1,953,,FITS

Object, Type, Aperture, Tolerance, FWHM, Measured, StartingX, StartingY, Fixed
1,OccultedStar,15.00,2.00,NaN,yes,41.0,32.0,no


FrameNo,Time (JD),SignalMinusBackground (1)
204,2458654.30160547,5938800
205,2458654.30160608,5975000
206,2458654.30160666,5987600
207,2458654.30160725,5925900
208,2458654.30160812,6002700
209,2458654.30160845,6002300
210,2458654.30160905,5929000
211,2458654.30160964,5972500
212,2458654.30161022,5973600
213,2458654.30161108,5960400
214,2458654.30161141,5958900
215,2458654.30161202,5953800
216,2458654.30161261,6000000
217,2458654.3016132,5997200
218,2458654.30161407,6075700
219,2458654.3016144,6057700
220,2458654.30161498,5982700
221,2458654.30161557,5944300
222,2458654.30161616,5877800
223,2458654.30161705,5908500
224,2458654.30161737,5858200
225,2458654.30161795,5847300
226,2458654.30161859,5862400
227,2458654.30161914,5864600
228,2458654.30162017,5905300
229,2458654.30162033,5883300
230,2458654.30162093,5944700
231,2458654.30162151,5951900
232,2458654.30162213,5937000
233,2458654.301623,6006100
234,2458654.30162331,5946200
235,2458654.3016239,5962900
236,2458654.3016245,5962200
237,2458654.3016251,5981400
238,2458654.30162604,5979400
239,2458654.30162627,5996100
240,2458654.30162687,5968200
241,2458654.30162747,5915100
242,2458654.30162805,5862500
243,2458654.30162894,5825400
244,2458654.30162924,5784100
245,2458654.30162984,5790200
246,2458654.30163044,5796400
247,2458654.30163104,5825900
248,2458654.30163192,5844200
249,2458654.30163222,5860500
250,2458654.30163282,5921800
251,2458654.3016334,5968600
252,2458654.30163401,6054700
253,2458654.30163484,6090300
254,2458654.30163519,6117500
255,2458654.30163579,6034900
256,2458654.30163637,5964000
257,2458654.30163697,5972500
258,2458654.30163784,5971000
259,2458654.30163816,5941900
260,2458654.30163877,5875000
261,2458654.30163935,5888100
262,2458654.30163995,5885100
263,2458654.30164076,5787500
264,2458654.30164113,5776300
265,2458654.30164174,5695300
266,2458654.30164232,5686600
267,2458654.30164299,5669800
268,2458654.30164379,5683400
269,2458654.30164411,5719500
270,2458654.3016447,5902600
271,2458654.30164529,5945400
272,2458654.30164648,6097900
273,2458654.30164652,6181000
274,2458654.30164709,6248300
275,2458654.30164767,6274200
276,2458654.30164827,6365200
277,2458654.30164939,6252100
278,2458654.30164947,6299800
279,2458654.30165007,6214800
280,2458654.30165064,6167200
281,2458654.30165123,6055400
282,2458654.30165229,6058400
283,2458654.30165242,5954100
284,2458654.30165303,5827100
285,2458654.30165363,5779700
286,2458654.30165422,5706500
287,2458654.30165533,5669400
288,2458654.3016554,5609400
289,2458654.301656,5549000
290,2458654.3016566,5535700
291,2458654.30165718,5529600
292,2458654.30165823,5559000
293,2458654.30165838,5561000
294,2458654.30165897,5655100
295,2458654.30165956,5752200
296,2458654.30166015,5890300
297,2458654.30166128,6007900
298,2458654.30166135,6124200
299,2458654.30166195,6186600
300,2458654.30166253,6243700
301,2458654.30166313,6313100
302,2458654.30166416,6304300
303,2458654.30166432,6347500
304,2458654.30166492,6343900
305,2458654.30166551,6398600
306,2458654.30166611,6343900
307,2458654.30166722,6295600
308,2458654.30166729,6296400
309,2458654.30166789,6197300
310,2458654.30166849,6169900
311,2458654.30166907,6114100
312,2458654.30167011,6123700
313,2458654.30167026,6017000
314,2458654.30167086,5922400
315,2458654.30167145,5760400
316,2458654.30167207,5583500
317,2458654.30167308,5505300
318,2458654.30167325,5378900
319,2458654.30167382,5259800
320,2458654.30167443,5216700
321,2458654.30167502,5128900
322,2458654.30167598,5153400
323,2458654.30167621,5236100
324,2458654.3016768,5326400
325,2458654.30167739,5410200
326,2458654.30167802,5487500
327,2458654.30167911,5662000
328,2458654.30167921,5762100
329,2458654.30167977,5947600
330,2458654.30168037,6013600
331,2458654.30168095,6123800
